;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
UDEA;0.0;0.0;0.0;0.0;0.006487255418057956;0.039332837798366445;0.06506748697290614;0.06672737184466394;0.03847844744577173;0.04855356259760402;0.0;0.0;0.0;0.01644559387653819;0.0;0.016955934830168558;0.006592381831727132;0.0;0.0;0.0;0.0;0.0;0.0;0.056586681394108905;0.026660058506503326;0.0;0.0;0.0;0.0;0.11541351109404101;0.06283310175539748;0.08142900863880519;0.03660310585026805;0.012789106070190267;0.048878048188149066;0.0047708277912412;0.0871364172063718;0.08237323497248834;0.0580737423001929;0.0;0.019102425058359216;0.0;0.0027098585580790247
SENA;0.06105363091412418;0.024309712543005124;0.0045279544270240436;0.10635446728249592;0.025448114495511494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0035622319399461417;0.03893197612747751;0.0024406329682885673;0.025217073508840462;0.034603015600784506;0.002276625130905947;0.08659607442371871;0.04259481300475731;0.05577731570719565;0.03887801167993011;0.0;0.0;0.026187934561361797;0.03123023762907199;0.05891231283190243;0.015509719502919982;0.0;0.0;0.05590379488113487;0.016354600384833967;0.011598257530885968;0.02718459045200284;0.02922038369606769;0.0;0.05673687104014785;0.03529780786295728;0.032120651013604104;0.0009140228303340966;0.0061283375746016295;0.04412882845416776
BIOPACIFICO;0.032413571560216126;0.01169740098903313;0.005897521500889062;0.0;0.012339230441964485;0.05657572683256195;0.08025947048316558;0.0;0.0557894265433619;0.0;0.0;0.020377493036979364;0.0014155387016003178;0.0;0.03995224443879958;0.0004456943789236865;0.012208969851886164;0.03566723518525239;0.0036690496062706398;0.08713241644591212;0.04357789309431362;0.056626555866023165;0.03989882788402221;0.03505628333998621;0.00892056464782088;0.027337591174656176;0.03232870051166673;0.059729723845121034;0.016767790398083973;0.0;0.0;0.05675175091628263;0.01760409333381718;0.004530700160360469;0.028324128170700735;0.014466030621788702;0.0;0.0;0.036354973328011034;0.033210073665493355;0.0023202815981420376;0.007481656203505459;0.022871391243387922
CORPOICA-AGROSAVIA;0.06171135282488521;0.04736288915770628;0.03346553187082624;0.0;0.047807433990655346;0.0;0.0;0.0;0.0;0.0;0.09538685421090509;0.0;0.037869970529380646;0.03926101856753861;0.0;0.038823035281939346;0.04771721271459557;0.004210873011735251;0.03565544829882256;0.07216431014772309;0.005545601529891562;0.025504149945712082;5.249237879841165e-05;0.0;0.0;0.012396403330612892;0.007491646686636115;0.030250592507437855;0.02278333278534903;0.07109195626072749;0.0008553298860560352;0.025695641711247018;0.02196149897978636;0.04239907858758128;0.011426934709679693;0.0;0.0;0.026956934140237067;0.0035350336347056716;0.006625522436462278;0.03698088086348251;0.031908804762085775;0.05510223425679742
BIOTEC;0.039564487236107386;0.014761894972491578;0.008082836133692794;0.07014310332972036;0.015530330150660078;0.06849281080686402;0.09684835243669802;0.09867728487182231;0.06755140682475354;0.0;0.0;0.025154200979825743;0.001437883586550981;0.0007570929615165694;0.05857210127866121;0.0;0.0;0.05221918016562097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024199011547840845;0.1274816203559859;0.0;0.08347891782779912;0.025438907721441615;0.006181508075303808;0.041332347296020665;0.018076657789019183;0.0;0.0;0.05323881534231462;0.0;0.002779248309288742;0.0;0.0
ALEXANDER VON HUMBOLT;0.0463578318163293;0.0003022400394591156;0.012156766031577781;0.10495856541230807;0.00029887243581034896;0.0;0.0;0.0;0.0;0.0;0.0;0.018742018747452797;0.008399754429967937;0.0072131824232025184;0.040703057906602925;0.0;0.0;0.037111158919142045;0.010288754676587415;0.08025172677360506;0.043742249414497385;0.054680260472145116;0.04065828160446084;0.0;0.0;0.030128854303859687;0.034312640035261334;0.05728148377471223;0.0;0.07966403780799011;0.0;0.05478520493029065;0.021969772497905486;0.004536399110770625;0.03095581663404643;0.005178644205950297;0.0;0.05547643909460917;0.03768765380922147;0.03505144902060585;0.009158153047499614;0.013484663241979177;0.024464067382149155
CORPOGEN;0.046572925261955576;0.03495128439622866;0.023695020372627613;0.060901012045538404;0.035311346666105414;0.060127741783293866;0.0;0.0;0.05968663228661827;0.06488826987542826;0.0;0.0;0.027262426994838287;0.02838911631164821;0.007848126205940694;0.028034368614020557;0.03523827129768024;0.0;0.02546875886076588;0.0;0.014488613202163237;0.03838764029676333;0.0;0.00048628336079296284;0.021288847786846036;0.0;0.0;0.0;0.0;0.09297598989048021;0.008872326548359935;0.03861693888088705;0.014377246576887034;0.03093081048978192;0.005844700830951486;0.03650446813602914;0.04774607984346552;0.0401272522216485;0.001259613555452894;0.001955762587670054;0.02654230245508477;0.0;0.041219822364046144
CENIPALMA;0.03930882883373374;0.017662245743286176;0.0017863843675979475;0.06599646482863329;0.018332901284330107;0.0;0.0;0.0;0.0637345490924187;0.0;0.09011284212558213;0.0;0.003340903986750226;0.005439486639168141;0.029085281358883188;0.0;0.01819679038116621;0.025650338533696717;0.0;0.06690578155797568;0.03199166850976166;0.04245171839853557;0.02904246165868608;0.0;0.0;0.01897314153421075;0.022974107271377688;0.04493927535686111;0.010500193357708703;0.0663437729928887;0.02953355009532163;0.042552077070872545;0.01117058928891962;0.010173671325577895;0.01976396787222602;0.0;0.04654769034551485;0.043213106192665336;0.02620164217373444;0.02368063232462992;0.0019995929046623495;0.0030562561015683256;0.029338086491054734
INCAUCA;0.05591094168744389;0.048488001262756986;0.04129843326482085;0.06506253532409914;0.04871797918148228;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04357699677691464;0.044296632478313336;0.02398559370793993;0.0;0.04867130469613212;0.0;0.042431350318319995;0.0;0.0221423758501121;0.015508658541345956;0.02401274977214365;0.0;0.0;0.030398667995050806;0.027861273246015276;0.013931060936510819;0.035772174199362856;0.0003564233426738864;0.023701303660807176;0.015445011515868474;0.03534701206917328;0.04592005594149227;0.029897129434288267;0.0;0.012911011274858403;0.015025789774723478;0.025814384906659518;0.02741319818665381;0.04311704093946404;0.04049308623577914;0.052491823478793664
RIOPAILA;0.05974504935272593;0.0466120088750346;0.033891862661818525;0.07593651025491222;0.047018897404753845;0.0;0.0;0.0;0.07456419986316534;0.0;0.0;0.0;0.03792321211678608;0.039196427885058886;0.003261113972510081;0.0;0.0469363185518588;0.007115294252175524;0.03589627663663479;0.059199744847686524;0.0;0.017735873274350968;0.00330915985055811;0.0;0.0;0.014607448360290272;0.010118161630177433;0.021953730306079056;0.024114526479044315;0.058246813189092764;0.002758133686694751;0.017906039641957004;0.023362308200854835;0.042068670532117707;0.013720101050090713;0.0;0.024680929957578344;0.019026868783255366;0.00649670357230713;0.009325404642384922;0.03710943505734756;0.032467002090956626;0.053695773019741086
