;UNIVALLE;CIAT;CENICAÑA;UAO;UNAL;UIS;UCESAR;ITM;UPB;UPAMPLONA;ULIBRE;UDEA;SENA;BIOPACIFICO;CORPOICA-AGROSAVIA;BIOTEC;ALEXANDER VON HUMBOLT;CORPOGEN;CENIPALMA;INCAUCA;RIOPAILA;MAYAGUEZ;PROVIDENCIA;RISARALDA;GPC;PROGEN;BIOENERGY;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
ULIBRE;0.05339733851856353;0.0;0.12236495108464483;0.0;0.10000121528832714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19469162058698425;0.0;0.0;0.0;0.09989913106884607;0.0;0.0;0.0;0.0;0.0;0.0;0.06764294828948167;0.0;0.0;0.0;0.0;0.0;0.06323388223856109;0.08492920945494319;0.0;0.1945239107978368;0.0;0.0;0.0;0.0;0.0;0.019315792671811386;0.0;0.0
UDEA;0.0;0.0;0.0;0.0;0.019060858654371172;0.014731318161672514;0.08417935776978354;0.08371822278678569;0.05507785125240069;0.08585444448513117;0.0;0.0;0.0;0.013921070743686198;0.0;0.03818016827057729;0.056561047402268756;0.0;0.0;0.0;0.0;0.0;0.0;0.009806063192665276;0.009806063192665276;0.0;0.0;0.0;0.0;0.023990130802225867;0.061110480598420926;0.014845212946629806;0.006979044843090829;0.0959608924098016;0.09483084048099293;0.010250350340452494;0.06536765898539845;0.04299263079498664;0.016524086910735147;0.0;0.06503947805378812;0.0;0.031212726921469418
SENA;0.046804711278714516;0.024949866357830124;0.008790889064383392;0.06973582494444651;0.008518297709684142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013785824516563355;0.061798079720686655;0.009881066188477141;0.026686182183085633;0.028866536431273127;0.008602162806685248;0.015133656432652624;0.0362037636601695;0.04338221660585972;0.05862170280377565;0.0;0.0;0.03510153667101206;0.0488534157911702;0.0009325000071313984;0.03288510196455416;0.0;0.0;0.03872371014625046;0.020900380245490822;0.06270834199260152;0.0616751675939506;0.017547773153470277;0.0;0.014280964058594048;0.011118115716718537;0.025312772766947926;0.07480367294894212;0.04290698105618676;0.05048878518269185
BIOPACIFICO;0.03451304794293862;0.01166923385637215;0.019218373477802978;0.0;0.004282293203348609;0.025980794677896712;0.0781594472282998;0.0;0.05629450466357888;0.0;0.0;0.014912658898905204;0.011207335965094328;0.0;0.0675232252033696;0.020211839528011227;0.035526151158182126;0.03751308325859862;0.004214114160687263;0.0014088236188608905;0.02343238928733503;0.030935679524082983;0.04686477857467004;0.02228028463902212;0.02228028463902212;0.02228028463902212;0.03665445984360716;0.010449249943121686;0.019963552465784223;0.0;0.0;0.026066367668079366;0.007436501561483446;0.06835273688908268;0.06741121677614025;0.003932183256198382;0.0;0.0;0.002168742880846756;0.03427457873218449;0.0637790105854087;0.03043893875180315;0.03836383250115837
CORPOICA-AGROSAVIA;0.04327873626963629;0.035130285012649275;0.022153811242956838;0.0;0.029003870632224774;0.0;0.0;0.0;0.0;0.0;0.059634453552847584;0.0;0.025827873093411925;0.030967837230299847;0.0;0.021698182904055417;0.014674657170075016;0.013763400492272173;0.029035139243718006;0.03147036848644112;0.039326234878741435;0.04200267912441236;0.04768463252718303;0.0;0.0;0.038915275984830355;0.044042583778971016;0.026175550273586708;0.03808889125250915;0.04271664575350789;0.012936271269201131;0.04026578220503817;0.033620457771975934;0.03225806451612903;5.136986173888335e-05;0.0;0.0;0.01985929075195328;0.02997319758851505;0.015248659538200824;0.05371798556387768;0.04182549032595071;0.044652321703089096
BIOTEC;0.052154235165976934;0.03246167974832014;0.0011011278132120592;0.07281657471977965;0.017655828808905094;0.044798989250272876;0.0897797005742948;0.08948102865110329;0.07093098330107665;0.0;0.0;0.035257680764221346;0.009980320228573985;0.022402193467815877;0.05144056073652929;0.0;0.0;0.018811236792929464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03961181362038667;0.05079581768399147;0.0;0.04487275761684426;0.028812844445715476;0.05234246934988891;0.05131877659891322;0.025791939873194173;0.0;0.0;0.01999842425466015;0.0;0.07738301653339436;0.0;0.0
ALEXANDER VON HUMBOLT;0.045416628021801166;0.0324787816956094;0.0118751579893031;0.05899161451883051;0.022751459866625207;0.0;0.0;0.0;0.0;0.0;0.0;0.03431573127906322;0.017708714098919946;0.025869782261188374;0.043226588156603456;0.0;0.0;0.002684254675241376;0.022801107152664497;0.026667685072534145;0.039140974650786815;0.04339054592010243;0.05241216704038525;0.0;0.0;0.03848846746284183;0.04662944029504673;0.018260744636547324;0.0;0.04452415895133293;0.0;0.040632757388443644;0.030081527026854998;0.04434722062314621;0.04307526987834231;0.02809681766352234;0.0;0.008231992856610278;0.024290525733843268;0.000911382322292722;0.06199172908949059;0.04310921129921311;0.04759756237281293
CORPOGEN;0.043588938929857025;0.031555115330732665;0.01239115504450722;0.05621538298763173;0.022507483133638626;0.039094259087625836;0.0;0.0;0.055063126511443294;0.06724428061420244;0.0;0.0;0.017817095607474666;0.025407914988777047;0.04944079246473864;0.01171827244581703;0.0013457651973803788;0.0;0.022553661351195794;0.0;0.03775179233435669;0.041704427860976334;0.0;0.03714487861789102;0.03714487861789102;0.0;0.0;0.0;0.0;0.04275883049519837;0.002971207898973571;0.03913933782381259;0.029325367111543613;0.0508073876369938;0.049256262001166035;0.02747933789062723;0.008814672578773112;0.009002553460907291;0.023939007877910888;0.002193465333965566;0.059005866705729264;0.0;0.045617482058261265
CENIPALMA;0.03326739669927332;0.014235844489700535;0.014509359556659066;0.05323618112821199;6.593022843012505e-05;0.0;0.0;0.0;0.05141388174807199;0.0;0.07146786910604394;0.0;0.006762557716118928;0.004514016403476557;0.06122092639940533;0.0;0.030279242290208445;0.032200637518743636;0.0;0.005687730221791923;0.024035920163812202;0.030287033018395495;0.043557823924147844;0.0;0.0;0.023076083085723197;0.03505144170311266;0.006029476366669629;0.021145975917826822;0.031954576058046504;0.033944649037454894;0.026230330295240325;0.010709486528895269;0.06202307751197189;0.0611126124526987;0.0;0.037374590683165176;0.019347382509555658;0.002190932460855341;0.029068951668312512;0.05764934508507775;0.02987319022023393;0.03647554780266864
INCAUCA;0.03577405574626832;0.011087904800999622;0.022699074913840017;0.06167590658733416;0.006009432251042987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013747505895156904;0.0012243787411572707;0.07667513150734627;0.0;0.0409214583711228;0.0;0.0059332486849265394;0.0;0.023799750093602128;0.03190817518709148;0.04912194439808194;0.0;0.0;0.02255472905003992;0.03808817094680241;0.0129004171957192;0.020051154125485488;0.0340711737029903;0.045156901868311256;0.02664615689971716;0.0065138057496515215;0.0776020315617631;0.07654997279158353;0.0;0.04912026120079811;0.02828949755124251;0.0036477417014329793;0.039522945764556505;0.0674002968202343;0.03137137263570053;0.03993540325600069
